label,text_lemmatized
0,"ужасный качество , товар сломаться через день ."
0,"полный разочарование , деньга выбросить на ветер ."
0,"не рекомендовать , сплошной недостаток ."
0,"сервис отвратительный , не отвечать на звонок ."
0,"товар прийти повредить , упаковка быть вскрыть ."
0,"очень плохой , не соответствовать описание совсем ."
0,"зря потратить время и нерв , вернуть деньга ."
0,"катастрофа , а не продукт . большой никогда не купить ."
0,"функция не работать , брак с завод ."
0,"плохой покупка в мой жизнь , крайне недовольный ."
0,"материал ужасный , весь расползлось после первый стирка ."
0,"обман покупатель , характеристика неверный ."
0,"не работать вообще , прийтись выбросить ."
0,"грубый отношение персонал , большой ни нога ."
0,"разочаровать полностью , ожидать гораздо хороший ."
1,"товар обычный , особенный , но и не плохой ."
1,"доставить вовремя , но упаковка быть немного помятый ."
1,"за свой цена вполне нормально , претензия нет ."
1,"сойти для разовый использование , не более ."
1,"качество средний , быть мелкий недочет , но работать ."
1,"не знать , сказать , вроде неплохой , но мочь быть лучше ."
1,"обычный товар , как и везде , без сюрприз ."
1,"цвет отличаться от фото , но размер подойти ."
1,"нормально , функционал базовый , свой задача выполнять ."
1,"ни плохо ни хорошо , стандартный продукт ."
1,"доставка задержаться на день , но товар целый ."
1,"можно быть сделать хороший , но и так сойти ."
1,"средний качество материал , сборка нормальный ."
1,"ожидать больший , но за этот деньга приемлемый ."
1,"работать стабильно , дизайн простенький ."
2,"отличный товар , полностью оправдать ожидание !"
2,"превосходный качество , весь рекомендовать к покупка ."
2,"хороший покупка за последний время , в восторг ."
2,супер ! быстрый доставка и идеальный товар .
2,"очень довольный , быть заказывать еще обязательно ."
2,"замечательный продукт , спасибо продавец !"
2,"работать идеально , качество на высота ."
2,"просто чудо , а не вещь . очень понравиться ."
2,"рекомендовать весь , соотношение цена и качество отличный ."
2,благодарить за такой прекрасный сервис и товар .
2,"пять звезда мало , действительно высокий класс ."
2,"именно , что искать . очень рад покупка ."
2,"качество сборка потрясать , материал дорогой ."
2,"советовать , не пожалеть ни секунда ."
2,великолепно ! превзойти весь мой надежда .
