label,text_lemmatized
2,прийти спасибо только немного короче чем ожидать так супер
1,the color of the dress is not the same as in the picture he is red with a greenish podton i did not like the color the quality of the dress is good
1,заказывать белый цвет прийти какой то персиковый продавец ответить подождать пара день и пропасть а в целое товар хороший никакой торчать нитка очень жаль что прийти в такой цвет
0,приятный к тело но в бюст на размер больше заказ оформить 3 январь прибыть 11 январь
1,не прийти деньга через спор вернуть
1,заказать и черный и красный черный идеальный красный как тонкий лосина в связь с размер s оказаться маленький висеть и в складка размер s в итог на 46 российский черный идеальный ткань у красный и черный разный абсолютно
0,тряпка половой бесформенный тоненький мешок не стоить свой деньга ни на копейка
1,оооочень долго идти скорый даже дело в работа служба спср капец давать из соседний город везти месяц уже из отпуск успеть вернуться не пригодиться вещь очень жаль т к на сам дело шорты клевый на 50-52 российский- 4 xl очень свободно сидеть за счет ремень только держаться можно смело малый размер выбирать не советовать спср для доставка в маленький город
2,прийти быстро за 2 неделя качество хороший сшить хорошо нитка не торчать продавец рекомендовать
2,очень крутой продавец контактный заказать размер м рост 180 сидеть очень круто просто 5 балл подвести наш почта рф с доставка но сам продовец очень крутой рекомендовать
1,платье не довольный прийти с сломать пуговица запасной нет теперь прийтись покупать 4 пуговица воротник тоже при не правильно морщиться цвет соответствовать в остальной сидеть хорошо покупка не довольный
2,платье красивый длина ниже колено размер л сидеть хорошо
0,заказать 2 такой кардган я прийти брак на первый быть изъян в пошив капюшон а в второй в карман быть вшить лишний кусок ткань открыть и выиграть спор пройти 20 день продавец деньга не вернуть возможно быть какой-то срок по возврат средство но пока без деньга и с бракованый кардинат
0,заказ так и не прийти продавец закрыть спор очень не довольный что связаться с этот магазин
2,очень тонкий легкий полупрозрачный на жара плечо опустить белье почти не просвечивать если черный серый или телесный на свет однако просвечивать даже сложенной в четыре слой такой тонкий бирка нет пошив аккуратный на 83-66 подойти хорошо насчет состав сложный сказать более что не разбираться в материал но прикинуть можно 50/50 хлопок и еще мочь полиэстер мяться
1,товар не прийти
2,супер
1,ехать посылка два месяц самый обычный трикотаж на 42-44 размер м безнадежно маленький в грудь и плечо
0,очень жалеть что сделать заказ в этот магазин вещь абсолютно не соответствовать описание в профиль продавец деньга можно просто выкинуть на помойка а не ждать когда прийти посылка ибо при примерка и после шок равный этот вещь выкинуть в мусорка сшить криво-косо-размер не соответствовать вещь из этот магазин можно не сомневаться отправлять в обзор ожидание и реальность от aliexpress смех и разочарование не рекомендовать
0,рьтд
0,заказ прийти в срок но размер не соответствовать 3 х l не подойти мало ткань грубый колючий до заказывать черный цвет и размер подойти и ткань мягкий не думать быть такой разница
